"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"97","1992","Mercedes-Benz","124","</span>","","2500","124","Manual","Left","Gas","Silver","<span style=""background-color:#000000""></span>Black","Sedan","27.01.2021","autoam 358","Mercedes-Benz 124 </span>",NA,NA,NA,NA
"107","1994","BMW","316","</span>","","2500","300000","Manual","Left","Gas","Black","<span style=""background-color:#000000""></span>Black","Sedan","16.12.2020","autoam 359","BMW 316 </span>",NA,NA,NA,NA
"117","1998","Volkswagen","Passat","</span>","1.8T","2500","254000","Manual","Left","Gas","Blue","ABS","Sedan","27.01.2021","autoam 360","Volkswagen Passat </span>",NA,NA,NA,NA
"127","1993","Mercedes-Benz","180","</span>","2.2","2500","500000","Manual","Left","Gas","Black","","Sedan","11.01.2021","autoam 361","Mercedes-Benz 180 </span>",NA,NA,NA,NA
"137","1996","Nissan","Almera","</span>","","2800","223000","Manual","Left","Gas","Green","","Sedan","13.06.2022","autoam 362","Nissan Almera </span>",NA,NA,NA,NA
"147","1993","Ford","Mondeo","</span>","Машина находится в идеальном сос","2450","125346","Manual","Left","Gasoline","Green","Purchased from a dealer","Hatchback","29.05.2022","autoam 363","Ford Mondeo </span>",NA,NA,NA,NA
"157","1995","BMW","318","</span>","1.8","2400","225000","Manual","Left","Gas","Cherry","<span style=""background-color:#000000""></span>Black","Sedan","17.12.2020","autoam 364","BMW 318 </span>",NA,NA,NA,NA
"167","1990","Mercedes-Benz","124","</span>","","2400","200000","Manual","Left","Gas","Blue","","Sedan","08.02.2021","autoam 365","Mercedes-Benz 124 </span>",NA,NA,NA,NA
"177","1996","Mercedes-Benz","280","</span>","","2400","350000","Manual","Left","Gas","Black","","Sedan","14.04.2021","autoam 366","Mercedes-Benz 280 </span>",NA,NA,NA,NA
"187","1999","Mercedes-Benz","A","160","160","2700","100000","Automatic","Left","Gas","White","","Sedan","16.06.2022","autoam 367","Mercedes-Benz A 160",NA,NA,NA,NA
"197","1991","Volkswagen","Golf","</span>","","2500","180000","Manual","Left","Gasoline","Red","<span style=""background-color:#000000""></span>Black","Hatchback","17.05.2022","autoam 368","Volkswagen Golf </span>",NA,NA,NA,NA
"207","1993","Volkswagen","Vento","</span>","","2300","230000","Manual","Left","Gas","Red","","Sedan","14.02.2022","autoam 369","Volkswagen Vento </span>",NA,NA,NA,NA
"2111","1993","BMW","318","</span>","","֏1100","300000","Manual","Left","Gasoline","Black","ABS","Sedan","23.09.2020","autoam 370","BMW 318 </span>",NA,NA,NA,NA
"228","1991","Mercedes-Benz","124","</span>","230E","2300","450000","Manual","Left","Gas","Silver","Electric Mirrors","Sedan","21.10.2021","autoam 371","Mercedes-Benz 124 </span>",NA,NA,NA,NA
"237","1997","Volkswagen","Vento","</span>","1997","2200","662000","Manual","Left","Gas","Green","<span style=""background-color:#c7c7c7""></span>Gray","Sedan","23.03.2022","autoam 372","Volkswagen Vento </span>",NA,NA,NA,NA
"247","1998","Ford","Courier","</span>","","2000","200000","Manual","Left","Gas","White","1.6","Wagon","19.01.2022","autoam 373","Ford Courier </span>",NA,NA,NA,NA
"257","1996","Volkswagen","Golf","</span>","","1800","40000","Manual","Left","Gas","Black","","Coupe","04.02.2021","autoam 374","Volkswagen Golf </span>",NA,NA,NA,NA
"267","1997","Volkswagen","Vento","</span>","","2000","164000","Manual","Left","Gas","Blue","","Sedan","01.07.2022","autoam 375","Volkswagen Vento </span>",NA,NA,NA,NA
"277","1993","Volkswagen","Golf","</span>","1.4","1600","67000","Manual","Left","Gas","Sky-blue","<span style=""background-color:#000000""></span>Black","Hatchback","10.03.2021","autoam 376","Volkswagen Golf </span>",NA,NA,NA,NA
"287","1991","Volkswagen","Golf","</span>","","1600","300000","Manual","Left","Gas","Red","","Coupe","05.02.2021","autoam 377","Volkswagen Golf </span>",NA,NA,NA,NA
"297","1994","Volkswagen","Golf","</span>","22244455556666","1500","210000","Manual","Left","Gasoline","Black","<span style=""background-color:#000000""></span>Black","Sedan","24.02.2021","autoam 378","Volkswagen Golf </span>",NA,NA,NA,NA
"307","1997","Mercedes-Benz","A","160","160","800","120000","Automatic","Left","Gasoline","White","","Hatchback","11.01.2021","autoam 379","Mercedes-Benz A 160",NA,NA,NA,NA
"1","2008","VAZ (Lada)","2170",NA,NA,"2700","134000","Manual","Left","Gas/Gasoline",NA,NA,NA,"27.05.2019","autopro 1","VAZ (Lada) 2170 Priora","","Excellent","","https://autopro.am/car.php?id=32081"
"229","2003","Nissan Teana","",NA,NA,"4000","130000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"01.05.2019","autopro 2","Nissan Teana","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=31380"
"328","2011","VAZ (Lada)","2107",NA,NA,"2300","105000","Manual","Left","Gas",NA,NA,NA,"21.04.2019","autopro 3","VAZ (Lada) 2107 1.7 инжектор","1.7 լ","Excellent","backward","https://autopro.am/car.php?id=31193"
"428","2007","VAZ (Lada)","2115",NA,NA,"3000","122000","Manual","Left","Gas/Gasoline",NA,NA,NA,"18.04.2019","autopro 4","VAZ (Lada) 2115","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=31169"
"510","2006","Nissan Tiida","",NA,NA,"3300","100500","Automatic","Right","Gasoline",NA,NA,NA,"23.02.2019","autopro 5","Nissan Tiida","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30840"
"610","2002","Opel Astra","G",NA,NA,"3300","140000","Manual","Left","Gas/Gasoline",NA,NA,NA,"02.02.2019","autopro 6","Opel Astra G","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=30760"
"78","2005","Hyundai Accent","Verna",NA,NA,"4000","147000","Automatic","Left","Dizel",NA,NA,NA,"24.01.2019","autopro 7","Hyundai Accent Verna","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30734"
"88","2008","VAZ (Lada)","2170",NA,NA,"5000","110000","Manual","Left","Gasoline",NA,NA,NA,"12.12.2018","autopro 8","VAZ (Lada) 2170 Priora","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=30528"
"98","2005","Nissan Skyline","",NA,NA,"3800","102000","Automatic","Right","Gasoline",NA,NA,NA,"07.11.2018","autopro 9","Nissan Skyline","2.5 լ","Excellent","backward","https://autopro.am/car.php?id=30412"
"108","2004","Nissan Tiida","",NA,NA,"4500","115000","Automatic","Right","Gas",NA,NA,NA,"16.08.2018","autopro 10","Nissan Tiida","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30183"
"118","2003","Nissan Teana","2.3JK",NA,NA,"4250","135000","Automatic","Right","Gasoline",NA,NA,NA,"27.07.2018","autopro 11","Nissan Teana 2.3JK","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=29993"
"128","2003","Nissan Elgrand","AYo",NA,NA,"4500","126000","Automatic","Right","Gas",NA,NA,NA,"24.04.2018","autopro 12","Nissan Elgrand AYo","3.5 լ","Excellent","full","https://autopro.am/car.php?id=29763"
